company,email,career_url,linkedin_url,is_hyd_hub
ftcash,support@ftcash.com,https://ftcash.com/careers,https://linkedin.com/company/ftcash,False
ftcash,nodalofficer@ftcash.com,https://ftcash.com/careers,https://linkedin.com/company/ftcash,False
ftcash,hr@ftcash.com,https://ftcash.com/careers,https://linkedin.com/company/ftcash,False
Genpact,careers@genpact.com,https://genpact.wd108.myworkdayjobs.com/External_Careers,https://linkedin.com/company/genpact,False
Genpact,careers@genpact.com,https://genpact.com/careers,linkedin.com/company/genpact,False
Graymatics,info@graymatics.com,https://graymatics.com/careers,https://linkedin.com/company/graymatics,False
Graymatics,jobs@graymatics.com,https://graymatics.com/careers,https://linkedin.com/company/graymatics,False
HCLTech,careers@hcl.com,https://hcltech.com/careers,linkedin.com/company/hcl-technologies,True
Hinduja Tech,careers@hindujatech.com,https://hindujatech.com/careers,linkedin.com/company/hinduja-tech,False
Hogan Lovells,leaveofabsence_us@hlc.com,https://hlc.com/en/global-careers,https://linkedin.com/company/hogan-lovells,False
Infosys,career.development@infosys.com,https://infosys.com/careers.html,https://linkedin.com/company/infosys,True
Infosys,career.development@infosys.com,https://infosys.com/careers,linkedin.com/company/infosys,True
Intuit,talentacquisition@intuit.com,https://jobs.intuit.com,https://linkedin.com/company/intuit,False
iSprout,hr@isprout.in,https://isprout.in/careers,https://linkedin.com/company/isprout,False
KaleidoFin,careers@kaleidofin.com,https://kaleidofin.com/careers,https://linkedin.com/company/kaleidofin,False
KaleidoFin,info@kaleidofin.com,https://kaleidofin.com/careers,https://linkedin.com/company/kaleidofin,False
Kellton,careers@kellton.com,https://kellton.com/careers,linkedin.com/company/kellton,False
Kyndryl,careers@kyndryl.com,https://kyndryl.com/careers,https://linkedin.com/company/kyndryl,False
Kyndryl,careers@kyndryl.com,https://kyndryl.com/careers,linkedin.com/company/kyndryl,False
LANDEED,customers@landeed.com,https://landeed.com/careers,https://linkedin.com/company/landeed,False
LEO1,support@leo1.in,https://leo1.in/careers,https://linkedin.com/company/leo1,False
LEO1,partnership@leo1.in,https://leo1.in/careers,https://linkedin.com/company/leo1,False
LTI (LTIMindtree),careers@ltimindtree.com,https://ltimindtree.com/careers,linkedin.com/company/lti,False
Mindtree,careers@mindtree.com,https://mindtree.com/careers,linkedin.com/company/mindtree,False
Mphasis,careers@mphasis.com,https://mphasis.com/careers,https://linkedin.com/company/mphasis,False
Mphasis,careers@mphasis.com,https://mphasis.com/careers,linkedin.com/company/mphasis,False
NIIT Technologies,careers@niit-tech.com,https://niit-tech.com/careers,linkedin.com/company/niit-technologies,False
Niramai,contact@niramai.com,https://niramai.com/careers,https://linkedin.com/company/niramai,False
NTT DATA,global.careers@nttdata.com,https://careers.services.global.ntt,https://linkedin.com/company/ntt-data,False
OTIS,careers@otis.com,https://otis.com/en/us/careers,https://linkedin.com/company/otis,False
Persistent,careers@persistent.com,https://persistent.com/careers,linkedin.com/company/persistent-systems,True
Principal Financial Group,myhr@principal.com,https://principal.com/about-us/careers,https://linkedin.com/company/principalfinancialgroup,False
RACE Energy,hello@racenergy.in,https://racenergy.in/careers,https://linkedin.com/company/racenergy,False
RACE Energy,partner@racenergy.in,https://racenergy.in/careers,https://linkedin.com/company/racenergy,False
Ramco Systems,contact@ramco.com,https://ramco.com/careers,https://linkedin.com/company/ramco-systems,False
ReOrbit,launch@reorbit.com,https://careers.reorbit.space/jobs,https://linkedin.com/company/reorbit,False
SatSure,info@satsure.co,https://satsure.co/careers,https://linkedin.com/company/satsure,False
SatSure,gopinath@satsure.co,https://satsure.co/careers,https://linkedin.com/company/satsure,False
Selectsys,hr@selectsys.com,https://selectsys.com/careers,https://linkedin.com/company/selectsys-com,False
Signzy,connect@signzy.com,https://signzy.com/careers,https://linkedin.com/company/signzy,False
Skillsoft,india@skillsoft.com,https://skillsoft.com/careers,https://linkedin.com/company/skillsoft,False
Smartworks,careers@sworks.co.in,https://smartworksoffice.com/careers,https://linkedin.com/company/smartworks-office,False
Sonata Software,careers@sonata-software.com,https://sonata-software.com/careers,linkedin.com/company/sonata-software,False
Stellapps,info@stellapps.com,https://stellapps.com/career,https://linkedin.com/company/stellapps-technologies…,False
Stellapps,sales@stellapps.com,https://stellapps.com/career,https://linkedin.com/company/stellapps-technologies…,False
Stellapps,grievance@stellapps.com,https://stellapps.com/career,https://linkedin.com/company/stellapps-technologies…,False
Synchronoss,careers@synchronoss.com,https://synchronoss.com/careers,linkedin.com/company/synchronoss,False
Tata Consultancy Services (TCS),ilp.support@tcs.com,https://tcs.com/careers,https://linkedin.com/company/tata-consultancy-services,True
Tata Elxsi,careers@tataelxsi.com,https://tataelxsi.com/careers,linkedin.com/company/tata-elxsi,False
TCS,careers@tcs.com,https://tcs.com/careers,https://linkedin.com/company/tcs,True
TCS,careers@tcs.com,https://tcs.com/careers,linkedin.com/company/tata-consultancy-services,True
Tech Mahindra,careers@techmahindra.com,https://careers.techmahindra.com,https://linkedin.com/company/tech-mahindra,True
Tech Mahindra,careers@techmahindra.com,https://techmahindra.com/careers,linkedin.com/company/tech-mahindra,True
Upliance.ai,hi@upliance.ai,https://upliance.ai/careers,https://linkedin.com/company/upliance-ai,False
Upliance.ai,mobileapp@upliance.ai,https://upliance.ai/careers,https://linkedin.com/company/upliance-ai,False
ValueLabs,careers@valuelabs.co.in,https://valuelabs.co.in/careers,linkedin.com/company/valuelabs,False
Virtusa,careers@virtusa.com,https://virtusa.com/careers,https://linkedin.com/company/virtusa,True
Virtusa,careers@virtusa.com,https://virtusa.com/careers,linkedin.com/company/virtusa,True
Vitra.ai,contact@vitra.ai,https://vitra.ai/careers,https://linkedin.com/company/vitra-ai,False
Vitra.ai,keshav.k@vitra.ai,https://vitra.ai/careers,https://linkedin.com/company/vitra-ai,False
Vitra.ai,kinjal.pathak@vitra.ai,https://vitra.ai/careers,https://linkedin.com/company/vitra-ai,False
Wellfound,talent@wellfound.com,https://wellfound.com/company/wellfound,https://linkedin.com/company/wellfoundhq,False
Wellfound,press@wellfound.com,https://wellfound.com/company/wellfound,https://linkedin.com/company/wellfoundhq,False
WhistleDrive,hello@whistledrive.com,https://whistledrive.com/careers,https://linkedin.com/company/whistledrive,True
WhistleDrive,sales@whistledrive.com,https://whistledrive.com/careers,https://linkedin.com/company/whistledrive,True
WhistleDrive,hr@whistledrive.com,https://whistledrive.com/careers,https://linkedin.com/company/whistledrive,True
Wipro,helpdesk.recruitment@wipro.com,https://careers.wipro.com,https://linkedin.com/company/wipro,True
Wipro,helpdesk.recruitment@wipro.com,https://careers.wipro.com,linkedin.com/company/wipro,True
Zelis,verify-offers@zelis.com,https://careers.zelis.com,https://linkedin.com/company/zelis,False
Zensar,careers@zensar.com,https://zensar.com/careers,https://linkedin.com/company/zensar,True
Zensar Technologies,careers@zensar.com,https://zensar.com/careers,linkedin.com/company/zensar-technologies,True
Zetwerk,cs@zetwerk.com,https://zetwerk.com/careers,https://linkedin.com/company/zetwerk,False
